Log file created at: 2019/05/23 18:18:41
Running on machine: live2.sanhai
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
E0523 18:18:41.344225 31141 webserver.cpp:269] 接口返回数据异常 ret:-1  错误信息:
### Error updating database.  Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
### The error may involve com.dbr.eduLive.Dao.ServiceDao.serverInsert-Inline
### The error occurred while setting parameters
### SQL: insert into server_info    (      netFlag    ,     serverType    ,     serverName    ,     serverApi    )    values    (      ?    ,     ?    ,     ?    ,     ?    )
### Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
; SQL []; Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
E0523 18:18:41.344602 31141 webserver.cpp:514] 解析注册录制 数据失败 main_ret:-1
E0523 18:18:46.355283 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:18:51.365664 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:18:56.375885 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:18:56.406745 31156 RecordSaveRunnable.cpp:106] select LiveInfoUrl:http://192.168.1.205:8080/live/live_select?liveId=100120190330gEdVJz8U&userType=1&operateId=123  直播ID:100120190330gEdVJz8U
E0523 18:19:01.285220 31156 webserver.cpp:146] 该录制任务正在录制中  直播ID:100120190330gEdVJz8U
E0523 18:19:01.386042 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:06.391371 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:08.656370 31157 webserver.cpp:56] 参数为空 直播ID或操作类型为空
E0523 18:19:11.401458 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:14.397878 31156 RecordSaveRunnable.cpp:106] select LiveInfoUrl:http://192.168.1.205:8080/live/live_select?liveId=100120190330gEdVJz8U&userType=1&operateId=123  直播ID:100120190330gEdVJz8U
E0523 18:19:16.407662 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:21.417484 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:26.426429 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:28.500185  1357 RecordSaveRunnable.cpp:508] 查询到直播停止或直播中断  直播ID:100120190330gEdVJz8U
E0523 18:19:31.436950 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:36.446892 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:41.455317 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:46.465039 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:46.661986  4536 RecordSaveRunnable.cpp:508] 查询到直播停止或直播中断  直播ID:100120190330gEdVJz8U
E0523 18:19:51.475143 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:19:56.485004 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:01.494951 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:06.505102 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:11.515002 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:16.524174 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:21.533929 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:26.544224 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:31.553948 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:36.564172 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:41.571216 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:46.578097 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:51.587927 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:20:56.598162 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:01.608073 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:06.618098 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:11.628298 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:16.638391 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:21.649049 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:26.655324 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:31.664964 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:36.675007 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:41.684980 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:46.695837 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:51.705732 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:21:56.714164 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:01.723829 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:06.734059 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:11.744060 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:16.754132 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:21.764065 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:26.774528 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:31.783066 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:36.793112 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:41.798772 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:46.808122 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:51.814857 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:22:56.825054 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:01.835104 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:06.841177 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:11.851241 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:16.861111 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:21.871049 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:26.881134 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:31.891126 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:36.901157 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:41.911859 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:46.922195 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:51.930172 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:23:56.936195 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:01.946182 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:06.956158 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:11.966131 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:16.976116 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:21.985916 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:26.995999 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:32.006217 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:37.016216 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:42.026010 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:47.036198 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:52.046068 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:24:57.056069 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:02.066157 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:07.076727 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:12.086954 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:17.093271 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:22.099104 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:27.109144 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:32.119071 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:37.128748 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:42.139253 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:47.149161 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:52.159199 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:25:57.169021 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:02.178900 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:07.189155 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:12.198904 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:17.211995 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:22.222163 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:27.231884 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:32.242036 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:37.251922 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:42.262192 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:47.269129 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:52.279119 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:26:57.289185 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:02.298925 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:07.305786 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:12.316546 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:17.327229 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:22.337110 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:27.346976 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:32.357153 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:37.367949 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:42.377925 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:47.386174 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:52.396059 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:27:57.403496 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:02.411221 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:07.421180 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:12.431026 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:17.441234 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:22.451990 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:27.461618 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:32.471627 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:37.481889 31158 webserver.cpp:297] 定时上传  main_ret:0
